date,account_number,amount,type,memo,account_currency,account_type,account_name,category_main,category_sub,category_sub2,details,data_source
2011-01-01,ACCOUNT_CURRENT,-5.64,PAYMENT,CAFFE NERO,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-01,ACCOUNT_CURRENT,-1050.00,DD,MTG 80451771,£,Current Account,Current,House,Mortgage,,,synthetic
2011-01-01,ACCOUNT_CURRENT,-9.07,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-01,ACCOUNT_CURRENT,-78.61,PAYMENT,SAINSBURY'S S/MKTS,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-01-02,ACCOUNT_BARCLAYCARD,-210.08,PAYMENT,CURRYS PCWORLD,£,Credit Card,Barclaycard,Shopping,electronics,camera,,synthetic
2011-01-02,ACCOUNT_CURRENT,-17.58,PAYMENT,CMT UK LTD,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-02,ACCOUNT_CURRENT,-8.57,PAYMENT,GOODGE STREET NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-02,ACCOUNT_CURRENT,-7.58,PAYMENT,JUSTPARK.COM,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-01-02,ACCOUNT_CURRENT,-38.10,DD,PURE GYM LTD,£,Current Account,Current,Leisure,sport,gym,,synthetic
2011-01-03,ACCOUNT_CURRENT,-7.97,DD,AMAZON PRIME MEMBER,£,Current Account,Current,Leisure,subscription,amazon,,synthetic
2011-01-03,ACCOUNT_CURRENT,-21.89,PAYMENT,MASONS ARMS,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-03,ACCOUNT_CURRENT,-31.44,PAYMENT,OYSTERCARD TOPUP,£,Current Account,Current,Transport,tube,,,synthetic
2011-01-04,ACCOUNT_CURRENT,-8.16,PAYMENT,PAYBYPHONE PARKING,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-01-04,ACCOUNT_CURRENT,-52.47,PAYMENT,TESCO PFS,£,Current Account,Current,Transport,Automotive,Petrol,,synthetic
2011-01-05,ACCOUNT_CURRENT,-20.00,CASH,CASH WITHDRAWAL ATM,£,Current Account,Current,Withdrawal,,,,synthetic
2011-01-05,ACCOUNT_CURRENT,-53.04,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-01-05,ACCOUNT_CURRENT,-7.07,PAYMENT,GOODGE STREET NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-05,ACCOUNT_CURRENT,-7.71,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-05,ACCOUNT_CURRENT,-7.77,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-05,ACCOUNT_CURRENT,-3.49,PAYMENT,STARBUCKS COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-06,ACCOUNT_CURRENT,-40.01,PAYMENT,FRANCO MANCA,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-06,ACCOUNT_CURRENT,-4.42,PAYMENT,KAFFEINE LONDON,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-06,ACCOUNT_CURRENT,-7.01,PAYMENT,NASH SUPERMARKET,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-06,ACCOUNT_CURRENT,-34.86,DD,THAMES WATER,£,Current Account,Current,Bills,utilities,water,,synthetic
2011-01-06,ACCOUNT_CURRENT,-10.27,PAYMENT,VERIFONE TAXI,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-07,ACCOUNT_CURRENT,-17.74,PAYMENT,CABVISION NETWORK,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-07,ACCOUNT_CURRENT,-14.18,PAYMENT,GAILS BAKERY,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-08,ACCOUNT_CURRENT,-132.67,DD,E.ON ENERGY,£,Current Account,Current,Bills,utilities,gas/elec,,synthetic
2011-01-08,ACCOUNT_CURRENT,-8.73,PAYMENT,EURO SUPERMARKET,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-08,ACCOUNT_CURRENT,-4.34,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-08,ACCOUNT_CURRENT,-88.72,PAYMENT,SAINSBURY'S S/MKTS,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-01-09,ACCOUNT_CURRENT,-14.48,PAYMENT,VERIFONE TAXI,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-10,ACCOUNT_CURRENT,-34.01,PAYMENT,LUL TICKET MACHINE,£,Current Account,Current,Transport,tube,,,synthetic
2011-01-10,ACCOUNT_CURRENT,-9.98,DD,SPOTIFY UK,£,Current Account,Current,Leisure,subscription,music,,synthetic
2011-01-11,ACCOUNT_CURRENT,-23.25,PAYMENT,CABVISION NETWORK,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-11,ACCOUNT_CURRENT,-81.49,PAYMENT,NAKED WINES UK,£,Current Account,Current,Shopping,Groceries,wine,,synthetic
2011-01-11,ACCOUNT_CURRENT,-10.38,DD,SKYPE COMMUNICATIONS,£,Current Account,Current,Bills,utilities,Mobile Phone,,synthetic
2011-01-12,ACCOUNT_CURRENT,-3.86,PAYMENT,BLACK SHEEP COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-12,ACCOUNT_CURRENT,-3.74,PAYMENT,BLACK SHEEP COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-12,ACCOUNT_CURRENT,-54.21,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-01-12,ACCOUNT_CURRENT,-10.38,PAYMENT,GOODGE STREET NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-12,ACCOUNT_CURRENT,-8.84,PAYMENT,JUSTPARK.COM,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-01-12,ACCOUNT_CURRENT,-28.87,PAYMENT,MASONS ARMS,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-12,ACCOUNT_CURRENT,-36.65,DD,PLUSNET PLC,£,Current Account,Current,Bills,utilities,broadband,,synthetic
2011-01-12,ACCOUNT_CURRENT,-21.89,PAYMENT,UBER   TRIP HELP.UBER.COM,£,Current Account,Current,Transport,taxi,,,synthetic
2011-01-13,ACCOUNT_CURRENT,-8.80,PAYMENT,GAILS BAKERY,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-14,ACCOUNT_CURRENT,-66.75,PAYMENT,FRANCO MANCA,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-14,ACCOUNT_CURRENT,-29.67,PAYMENT,THE SHIP TAVERN,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-15,ACCOUNT_CURRENT,-7.13,PAYMENT,CASTLE NEWS LTD,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-15,ACCOUNT_CURRENT,-71.80,PAYMENT,TESCO SELF SERVICE 4521,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-01-15,ACCOUNT_CURRENT,-21.16,DD,VODAFONE LTD,£,Current Account,Current,Bills,utilities,Mobile Phone,,synthetic
2011-01-16,ACCOUNT_CURRENT,-3.31,PAYMENT,BLANK STREET COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-16,ACCOUNT_CURRENT,-3.24,PAYMENT,STARBUCKS COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-17,ACCOUNT_BARCLAYCARD,-55.24,PAYMENT,TK MAXX LONDON,£,Credit Card,Barclaycard,Shopping,Clothes,,,synthetic
2011-01-17,ACCOUNT_CURRENT,-32.59,PAYMENT,LUL TICKET MACHINE,£,Current Account,Current,Transport,tube,,,synthetic
2011-01-17,ACCOUNT_CURRENT,-10.21,PAYMENT,PAYPAL *UNKNOWN MRC 9805,£,Current Account,Current,Missing,,,,synthetic
2011-01-17,ACCOUNT_CURRENT,-22.24,PAYMENT,Prince Of Wales,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-18,ACCOUNT_CURRENT,-11.49,PAYMENT,GAILS BAKERY,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-18,ACCOUNT_CURRENT,-59.54,PAYMENT,SHELL SERVICE STN,£,Current Account,Current,Transport,Automotive,Petrol,,synthetic
2011-01-19,ACCOUNT_CURRENT,-3.25,PAYMENT,BLACK SHEEP COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-19,ACCOUNT_CURRENT,-36.35,PAYMENT,BREWDOG SHOREDITCH,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-19,ACCOUNT_CURRENT,-57.64,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-01-19,ACCOUNT_CURRENT,-6.88,PAYMENT,SJ NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-20,ACCOUNT_CURRENT,-10.68,PAYMENT,HARRYS DELI,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-20,ACCOUNT_CURRENT,-9.63,PAYMENT,NISA LOCAL,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-20,ACCOUNT_CURRENT,-12.61,DD,TV LICENSE MTHLY,£,Current Account,Current,Bills,utilities,TV License,,synthetic
2011-01-20,ACCOUNT_CURRENT,-82.56,PAYMENT,ZARA UK,£,Current Account,Current,Shopping,Clothes,,,synthetic
2011-01-21,ACCOUNT_CURRENT,-20.65,PAYMENT,BULL & BUSH PH,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-01-21,ACCOUNT_CURRENT,-150.00,CASH,CASH WITHDRAWAL ATM,£,Current Account,Current,Withdrawal,,,,synthetic
2011-01-21,ACCOUNT_CURRENT,-3.83,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-22,ACCOUNT_CURRENT,-9.33,PAYMENT,EURO SUPERMARKET,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-22,ACCOUNT_CURRENT,-92.97,PAYMENT,SAINSBURYS TO YOU,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-01-23,ACCOUNT_BARCLAYCARD,-42.16,PAYMENT,CHARLES TYRWHITT,£,Credit Card,Barclaycard,Shopping,Clothes,,,synthetic
2011-01-23,ACCOUNT_CURRENT,-60.53,PAYMENT,BOOTH POLAROID UK 7262,£,Current Account,Current,Missing,,,,synthetic
2011-01-23,ACCOUNT_CURRENT,-4.45,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-23,ACCOUNT_CURRENT,-24.32,PAYMENT,UDEMY ONLINE COURSE,£,Current Account,Current,Leisure,entertainment,,,synthetic
2011-01-24,ACCOUNT_CURRENT,-39.66,PAYMENT,OYSTERCARD TOPUP,£,Current Account,Current,Transport,tube,,,synthetic
2011-01-24,ACCOUNT_CURRENT,-7.93,PAYMENT,SAVERS HEALTH & BE,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-24,ACCOUNT_CURRENT,-62.82,PAYMENT,TORTILLA EUSTON,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-01-25,ACCOUNT_CURRENT,3208.92,FPI,COMPANY_A SALARY,£,Current Account,Current,Income,Salary,,,synthetic
2011-01-26,ACCOUNT_CURRENT,-56.19,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-01-26,ACCOUNT_CURRENT,-6.45,PAYMENT,GOODGE STREET NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-26,ACCOUNT_CURRENT,-12.90,PAYMENT,IRISH MEAT MARKET LTD,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-26,ACCOUNT_CURRENT,-382.17,TFR,POT OF GOLD TRANSFER,£,Current Account,Current,Savings,Transfer,,,synthetic
2011-01-26,ACCOUNT_SAVINGS,382.17,TFR,POT OF GOLD CREDIT,£,Savings,Pot of Gold,Savings,Transfer,,,synthetic
2011-01-27,ACCOUNT_CURRENT,-8.85,PAYMENT,APCOA PARKING,£,Current Account,Current,Transport,Automotive,parking & fees,,synthetic
2011-01-27,ACCOUNT_CURRENT,-78.60,PAYMENT,NAKED WINES UK,£,Current Account,Current,Shopping,Groceries,wine,,synthetic
2011-01-27,ACCOUNT_CURRENT,-8.42,PAYMENT,SAVERS HEALTH & BE,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-28,ACCOUNT_CURRENT,-15.00,DD,BRITISH RED CROSS,£,Current Account,Current,Bills,Charity,,,synthetic
2011-01-29,ACCOUNT_CURRENT,-10.06,PAYMENT,CASTLE NEWS LTD,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-01-29,ACCOUNT_SAINSBURY,-87.06,PAYMENT,GOOGLE *YOUTUBE PRE 7128,£,Credit Card,Sainsbury,Missing,,,,synthetic
2011-01-30,ACCOUNT_CURRENT,-3.51,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-30,ACCOUNT_CURRENT,-4.58,PAYMENT,STARBUCKS COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-01-31,ACCOUNT_BARCLAYCARD,-200.00,PAYMENT,CARDTRONICS ATM,£,Credit Card,Barclaycard,Withdrawal,,,,synthetic
2011-01-31,ACCOUNT_CURRENT,-8.60,PAYMENT,IRISH MEAT MARKET LTD,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-01-31,ACCOUNT_CURRENT,-42.00,PAYMENT,OYSTERCARD TOPUP,£,Current Account,Current,Transport,tube,,,synthetic
2011-01-31,ACCOUNT_SAVINGS,0.49,INT,INTEREST PAID GROSS,£,Savings,Pot of Gold,Savings,Interest,,,synthetic
2011-02-01,ACCOUNT_CURRENT,-1050.00,DD,MTG 80451771,£,Current Account,Current,House,Mortgage,,,synthetic
2011-02-01,ACCOUNT_CURRENT,-10.35,PAYMENT,SUPERSAVE LONDON,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-01,ACCOUNT_CURRENT,-26.43,PAYMENT,UBER   TRIP HELP.UBER.COM,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-02,ACCOUNT_CURRENT,-3.55,PAYMENT,CAFFE NERO,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-02,ACCOUNT_CURRENT,-9.59,PAYMENT,CASTLE NEWS LTD,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-02,ACCOUNT_CURRENT,-54.52,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-02-02,ACCOUNT_CURRENT,-38.74,DD,EASY GYM,£,Current Account,Current,Leisure,sport,gym,,synthetic
2011-02-02,ACCOUNT_CURRENT,-7.76,PAYMENT,IRISH MEAT MARKET LTD,£,Current Account,Current,Shopping,Groceries,,,synthetic
2011-02-03,ACCOUNT_CURRENT,-7.95,DD,AMAZON PRIME MEMBER,£,Current Account,Current,Leisure,subscription,amazon,,synthetic
2011-02-03,ACCOUNT_CURRENT,-80.00,CASH,CASH WITHDRAWAL ATM,£,Current Account,Current,Withdrawal,,,,synthetic
2011-02-03,ACCOUNT_CURRENT,-52.66,PAYMENT,TESCO PFS,£,Current Account,Current,Transport,Automotive,Petrol,,synthetic
2011-02-04,ACCOUNT_BARCLAYCARD,-69.83,PAYMENT,SPORTSDIRECT.COM,£,Credit Card,Barclaycard,Shopping,Clothes,,,synthetic
2011-02-04,ACCOUNT_CURRENT,-149.70,DD,L B BRENT COUNCIL,£,Current Account,Current,Bills,utilities,council tax,,synthetic
2011-02-04,ACCOUNT_CURRENT,-6.75,PAYMENT,NISA LOCAL,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-04,ACCOUNT_CURRENT,-34.38,PAYMENT,ROYAL OAK PUB,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-02-05,ACCOUNT_BARCLAYCARD,507.48,CR,PAYMENT RECEIVED - THANK YOU,£,Credit Card,Barclaycard,Shopping,CreditCard,,,synthetic
2011-02-05,ACCOUNT_CURRENT,-507.48,DD,CARDHOLDER_NAME_CARDNUMBER,£,Current Account,Current,Shopping,CreditCard,,,synthetic
2011-02-05,ACCOUNT_CURRENT,-2.81,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-05,ACCOUNT_CURRENT,-87.06,DD,SAINSBURYS BANK PL,£,Current Account,Current,Shopping,CreditCard,,,synthetic
2011-02-05,ACCOUNT_CURRENT,-79.68,PAYMENT,TESCO SELF SERVICE 4521,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-02-05,ACCOUNT_CURRENT,-85.40,PAYMENT,TK MAXX LONDON,£,Current Account,Current,Shopping,Clothes,,,synthetic
2011-02-05,ACCOUNT_CURRENT,-27.35,PAYMENT,VERIFONE TAXI,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-05,ACCOUNT_SAINSBURY,87.06,CR,"DIRECT DEBIT RECEIVED, THANK YOU",£,Credit Card,Sainsbury,Shopping,CreditCard,,,synthetic
2011-02-06,ACCOUNT_BARCLAYCARD,-72.67,PAYMENT,CHARLES TYRWHITT,£,Credit Card,Barclaycard,Shopping,Clothes,,,synthetic
2011-02-06,ACCOUNT_CURRENT,-9.97,PAYMENT,GOODGE STREET NEWS,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-06,ACCOUNT_CURRENT,-53.46,PAYMENT,KFC LONDON,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-02-06,ACCOUNT_CURRENT,-33.33,DD,THAMES WATER,£,Current Account,Current,Bills,utilities,water,,synthetic
2011-02-06,ACCOUNT_CURRENT,-21.22,PAYMENT,VERIFONE TAXI,£,Current Account,Current,Transport,taxi,,,synthetic
2011-02-07,ACCOUNT_CURRENT,-4.03,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-07,ACCOUNT_CURRENT,-35.80,PAYMENT,LUL TICKET MACHINE,£,Current Account,Current,Transport,tube,,,synthetic
2011-02-07,ACCOUNT_CURRENT,-7.53,PAYMENT,SUPERSAVE LONDON,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-08,ACCOUNT_CURRENT,-13.18,PAYMENT,BOOTS THE CHEMIST,£,Current Account,Current,Health,General,Medicine,,synthetic
2011-02-08,ACCOUNT_CURRENT,-145.10,DD,E.ON ENERGY,£,Current Account,Current,Bills,utilities,gas/elec,,synthetic
2011-02-08,ACCOUNT_CURRENT,-77.94,PAYMENT,JAZZ WINE MART,£,Current Account,Current,Shopping,Groceries,wine,,synthetic
2011-02-08,ACCOUNT_CURRENT,-34.02,PAYMENT,ROSE AND CROWN,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-02-09,ACCOUNT_CURRENT,-55.67,TFR,CLEANER_A,£,Current Account,Current,Bills,Household,cleaner,,synthetic
2011-02-09,ACCOUNT_CURRENT,-53.57,PAYMENT,REVOLUT TOPUP 2572,£,Current Account,Current,Missing,,,,synthetic
2011-02-10,ACCOUNT_CURRENT,-19.30,PAYMENT,ROYAL OAK PUB,£,Current Account,Current,Leisure,food/drinks,pub,,synthetic
2011-02-10,ACCOUNT_CURRENT,-9.97,DD,SPOTIFY UK,£,Current Account,Current,Leisure,subscription,music,,synthetic
2011-02-10,ACCOUNT_CURRENT,-4.61,PAYMENT,STARBUCKS COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-11,ACCOUNT_CURRENT,-7.23,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,restaurant,,synthetic
2011-02-11,ACCOUNT_CURRENT,-10.32,DD,SKYPE COMMUNICATIONS,£,Current Account,Current,Bills,utilities,Mobile Phone,,synthetic
2011-02-11,ACCOUNT_CURRENT,-8.02,PAYMENT,SUPERSAVE LONDON,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-12,ACCOUNT_CURRENT,-6.43,PAYMENT,EURO SUPERMARKET,£,Current Account,Current,Shopping,Groceries,Corner Shop,,synthetic
2011-02-12,ACCOUNT_CURRENT,-47.97,PAYMENT,HOMEBASE LTD,£,Current Account,Current,Shopping,Household,DIY,,synthetic
2011-02-12,ACCOUNT_CURRENT,-36.02,DD,PLUSNET PLC,£,Current Account,Current,Bills,utilities,broadband,,synthetic
2011-02-12,ACCOUNT_CURRENT,-3.29,PAYMENT,PRET A MANGER,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-12,ACCOUNT_CURRENT,-89.04,PAYMENT,TESCO STORES 2384,£,Current Account,Current,Shopping,Groceries,Supermarket,,synthetic
2011-02-12,ACCOUNT_CURRENT,-187.98,PAYMENT,TOOLSTATION LTD,£,Current Account,Current,House,Maintenance,TBC,TBC,synthetic
2011-02-13,ACCOUNT_CURRENT,-3.74,PAYMENT,BLACK SHEEP COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
2011-02-13,ACCOUNT_CURRENT,-3.65,PAYMENT,COSTA COFFEE,£,Current Account,Current,Leisure,food/drinks,café,,synthetic
